2021-11-30 11:49:49,657 CRITICAL config_client_log.py Критическая ошибка
2021-11-30 11:49:49,657 ERROR    config_client_log.py Ошибка
2021-12-03 16:30:31,447 DEBUG    decorated.py Функция read_answer c параметрами ({'response': 200},), {} - была вызвана из модуля main
2021-12-03 16:32:00,136 DEBUG    decorated.py Функция create_arg_parser c параметрами (), {} - была вызвана из модуля main
2021-12-03 16:32:00,136 DEBUG    client.py Создано сообщение: {'action': 'presence', 'time': 1638538320.1361763, 'user': {'account_name': 'Guest'}}
2021-12-03 16:32:00,136 DEBUG    decorated.py Функция say_hello c параметрами (), {} - была вызвана из модуля main
2021-12-03 16:32:00,136 DEBUG    decorated.py Функция send_message c параметрами (<socket.socket fd=308, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 60762), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1638538320.1361763, 'user': {'account_name': 'Guest'}}), {} - была вызвана из модуля main
2021-12-03 16:32:00,152 DEBUG    decorated.py Функция get_message c параметрами (<socket.socket fd=308, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 60762), raddr=('127.0.0.1', 7777)>,), {} - была вызвана из модуля main
2021-12-03 16:32:00,152 DEBUG    client.py Чтение сообщения от сервера: {'response': 200}
2021-12-03 16:32:00,152 INFO     client.py Cообщение от сервера прочитано успешно
2021-12-03 16:32:00,152 DEBUG    decorated.py Функция read_answer c параметрами ({'response': 200},), {} - была вызвана из модуля main
2021-12-03 16:32:13,866 DEBUG    decorated.py Функция create_arg_parser c параметрами (), {} - была вызвана из модуля main
2021-12-03 16:32:13,874 DEBUG    client.py Создано сообщение: {'action': 'presence', 'time': 1638538333.874763, 'user': {'account_name': 'Guest'}}
2021-12-03 16:32:13,874 DEBUG    decorated.py Функция say_hello c параметрами (), {} - была вызвана из модуля main
2021-12-03 16:32:13,874 DEBUG    decorated.py Функция send_message c параметрами (<socket.socket fd=436, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 60764), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1638538333.874763, 'user': {'account_name': 'Guest'}}), {} - была вызвана из модуля main
2021-12-03 16:32:13,882 DEBUG    decorated.py Функция get_message c параметрами (<socket.socket fd=436, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 60764), raddr=('127.0.0.1', 7777)>,), {} - была вызвана из модуля main
2021-12-03 16:32:13,882 DEBUG    client.py Чтение сообщения от сервера: {'response': 200}
2021-12-03 16:32:13,882 INFO     client.py Cообщение от сервера прочитано успешно
2021-12-03 16:32:13,882 DEBUG    decorated.py Функция read_answer c параметрами ({'response': 200},), {} - была вызвана из модуля main
2021-12-03 16:33:33,102 DEBUG    decorated.py Функция create_arg_parser c параметрами (), {} - была вызвана из модуля main
2021-12-03 16:33:33,110 DEBUG    client.py Создано сообщение: {'action': 'presence', 'time': 1638538413.110781, 'user': {'account_name': 'Guest'}}
2021-12-03 16:33:33,110 DEBUG    decorated.py Функция say_hello c параметрами (), {} - была вызвана из модуля main
